Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
1,tt6966692,2019-02-28,2019-02-28,Original Screenplay,Green Book,https://www.imdb.com/title/tt6966692/,movie,8.2,130,2018,"Biography, Comedy, Drama, Music",486565,2018-09-11,Peter Farrelly
2,tt7349662,2019-02-28,2019-02-28,Adapted Screenplay,BlacKkKlansman,https://www.imdb.com/title/tt7349662/,movie,7.5,135,2018,"Biography, Comedy, Crime, Drama",263595,2018-05-14,Spike Lee
3,tt5052448,2018-03-05,2018-03-05,Original Screenplay,Get Out,https://www.imdb.com/title/tt5052448/,movie,7.7,104,2017,"Horror, Mystery, Thriller",603070,2017-01-23,Jordan Peele
4,tt5726616,2018-03-05,2018-03-05,Adapted Screenplay,Call Me by Your Name,https://www.imdb.com/title/tt5726616/,movie,7.8,132,2017,"Drama, Romance",271297,2017-01-22,Luca Guadagnino
5,tt4034228,2017-02-27,2017-02-27,Original Screenplay,Manchester by the Sea,https://www.imdb.com/title/tt4034228/,movie,7.8,137,2016,Drama,281863,2016-01-23,Kenneth Lonergan
6,tt4975722,2017-02-27,2017-02-27,Adapted Screenplay,Moonlight,https://www.imdb.com/title/tt4975722/,movie,7.4,111,2016,Drama,307808,2016-09-02,Barry Jenkins
7,tt1895587,2016-09-14,2016-09-14,Original Screenplay,Spotlight,https://www.imdb.com/title/tt1895587/,movie,8.1,129,2015,"Biography, Crime, Drama",468859,2015-09-03,Tom McCarthy
8,tt1596363,2016-09-14,2016-09-14,Adapted Screenplay,The Big Short,https://www.imdb.com/title/tt1596363/,movie,7.8,130,2015,"Biography, Comedy, Drama, History",429863,2015-11-12,Adam McKay
9,tt2562232,2016-09-14,2016-09-14,Original Screenplay,Birdman or (The Unexpected Virtue of Ignorance),https://www.imdb.com/title/tt2562232/,movie,7.7,119,2014,"Comedy, Drama",628801,2014-08-27,Alejandro G. Iñárritu
10,tt2084970,2016-09-14,2016-09-14,Adapted Screenplay,The Imitation Game,https://www.imdb.com/title/tt2084970/,movie,8.0,114,2014,"Biography, Drama, Thriller, War",766252,2014-08-29,Morten Tyldum
11,tt1798709,2016-09-14,2016-09-14,Original Screenplay,Her,https://www.imdb.com/title/tt1798709/,movie,8.0,126,2013,"Drama, Romance, Sci-Fi",610447,2013-10-12,Spike Jonze
12,tt2024544,2016-09-14,2016-09-14,Adapted Screenplay,12 Years a Slave,https://www.imdb.com/title/tt2024544/,movie,8.1,134,2013,"Biography, Drama, History",698930,2013-08-30,Steve McQueen
13,tt1853728,2016-09-14,2016-09-14,Original Screenplay,Django Unchained,https://www.imdb.com/title/tt1853728/,movie,8.4,165,2012,"Drama, Western",1540008,2012-12-11,Quentin Tarantino
14,tt1024648,2016-09-14,2016-09-14,Adapted Screenplay,Argo,https://www.imdb.com/title/tt1024648/,movie,7.7,120,2012,"Biography, Drama, Thriller",614330,2012-08-31,Ben Affleck
15,tt1605783,2016-09-14,2016-09-14,Original Screenplay,Midnight in Paris,https://www.imdb.com/title/tt1605783/,movie,7.7,94,2011,"Comedy, Fantasy, Romance",424037,2011-05-11,Woody Allen
16,tt1033575,2016-09-14,2016-09-14,Adapted Screenplay,The Descendants,https://www.imdb.com/title/tt1033575/,movie,7.3,115,2011,"Comedy, Drama",242701,2011-09-02,Alexander Payne
17,tt1504320,2016-09-14,2016-09-14,Original Screenplay,The King's Speech,https://www.imdb.com/title/tt1504320/,movie,8.0,118,2010,"Biography, Drama, History",680099,2010-09-06,Tom Hooper
18,tt1285016,2016-09-14,2016-09-14,Adapted Screenplay,The Social Network,https://www.imdb.com/title/tt1285016/,movie,7.8,120,2010,"Biography, Drama",700241,2010-09-24,David Fincher
19,tt0887912,2016-09-14,2016-09-14,Original Screenplay,The Hurt Locker,https://www.imdb.com/title/tt0887912/,movie,7.5,131,2008,"Drama, Thriller, War",451915,2008-09-04,Kathryn Bigelow
20,tt0929632,2016-09-14,2016-09-14,Adapted Screenplay,Precious,https://www.imdb.com/title/tt0929632/,movie,7.3,110,2009,Drama,111347,2009-01-16,Lee Daniels
21,tt1013753,2016-09-14,2016-09-14,Original Screenplay,Milk,https://www.imdb.com/title/tt1013753/,movie,7.5,128,2008,"Biography, Drama",173497,2008-10-28,Gus Van Sant
22,tt1010048,2016-09-14,2016-09-14,Adapted Screenplay,Slumdog Millionaire,https://www.imdb.com/title/tt1010048/,movie,8.0,120,2008,"Crime, Drama, Romance",844007,2008-08-30,"Loveleen Tandan, Danny Boyle"
23,tt0467406,2016-09-14,2016-09-14,Original Screenplay,Juno,https://www.imdb.com/title/tt0467406/,movie,7.5,96,2007,"Comedy, Drama",522886,2007-09-01,Jason Reitman
24,tt0477348,2016-09-14,2016-09-14,Adapted Screenplay,No Country for Old Men,https://www.imdb.com/title/tt0477348/,movie,8.2,122,2007,"Crime, Drama, Thriller",966695,2007-05-19,"Ethan Coen, Joel Coen"
25,tt0449059,2016-09-14,2016-09-14,Original Screenplay,Little Miss Sunshine,https://www.imdb.com/title/tt0449059/,movie,7.8,101,2006,"Comedy, Drama",480962,2006-01-20,"Jonathan Dayton, Valerie Faris"
26,tt0407887,2016-09-14,2016-09-14,Adapted Screenplay,The Departed,https://www.imdb.com/title/tt0407887/,movie,8.5,151,2006,"Crime, Drama, Thriller",1316796,2006-09-26,Martin Scorsese
27,tt0375679,2016-09-14,2016-09-14,Original Screenplay,Crash,https://www.imdb.com/title/tt0375679/,movie,7.8,112,2004,"Crime, Drama, Thriller",436964,2004-09-10,Paul Haggis
28,tt0388795,2016-09-14,2016-09-14,Adapted Screenplay,Brokeback Mountain,https://www.imdb.com/title/tt0388795/,movie,7.7,134,2005,"Drama, Romance",357307,2005-09-02,Ang Lee
29,tt0338013,2016-09-14,2016-09-14,Original Screenplay,Eternal Sunshine of the Spotless Mind,https://www.imdb.com/title/tt0338013/,movie,8.3,108,2004,"Drama, Romance, Sci-Fi",1002382,2004-03-09,Michel Gondry
30,tt0375063,2016-09-14,2016-09-14,Adapted Screenplay,Sideways,https://www.imdb.com/title/tt0375063/,movie,7.5,127,2004,"Comedy, Drama, Romance",192296,2004-09-13,Alexander Payne
31,tt0335266,2016-09-14,2016-09-14,Original Screenplay,Lost in Translation,https://www.imdb.com/title/tt0335266/,movie,7.7,102,2003,"Comedy, Drama",454501,2003-08-29,Sofia Coppola
32,tt0167260,2016-09-14,2016-09-14,Adapted Screenplay,The Lord of the Rings: The Return of the King,https://www.imdb.com/title/tt0167260/,movie,9.0,201,2003,"Action, Adventure, Drama, Fantasy",1833165,2003-12-01,Peter Jackson
33,tt0287467,2016-09-14,2016-09-14,Original Screenplay,Hable con ella,https://www.imdb.com/title/tt0287467/,movie,7.9,112,2002,"Drama, Mystery, Romance",112897,2002-03-15,Pedro Almodóvar
34,tt0253474,2016-09-14,2016-09-14,Adapted Screenplay,The Pianist,https://www.imdb.com/title/tt0253474/,movie,8.5,150,2002,"Biography, Drama, Music, War",826487,2002-05-24,Roman Polanski
35,tt0280707,2016-09-14,2016-09-14,Screenplay Written Directly for the Screen,Gosford Park,https://www.imdb.com/title/tt0280707/,movie,7.2,137,2001,"Comedy, Drama, Mystery",88347,2001-11-07,Robert Altman
36,tt0268978,2016-09-14,2016-09-14,Screenplay Based on Material Previously Produced or Published,A Beautiful Mind,https://www.imdb.com/title/tt0268978/,movie,8.2,135,2001,"Biography, Drama",929190,2001-12-13,Ron Howard
37,tt0181875,2016-09-14,2016-09-14,Screenplay Written Directly for the Screen,Almost Famous,https://www.imdb.com/title/tt0181875/,movie,7.9,122,2000,"Adventure, Comedy, Drama, Music",276626,2000-09-08,Cameron Crowe
38,tt0181865,2016-09-14,2016-09-14,Screenplay Based on Material Previously Produced or Published,Traffic,https://www.imdb.com/title/tt0181865/,movie,7.6,147,2000,"Crime, Drama, Thriller",208071,2000-12-06,Steven Soderbergh
39,tt0169547,2016-09-14,2016-09-14,Screenplay Written Directly for the Screen,American Beauty,https://www.imdb.com/title/tt0169547/,movie,8.4,122,1999,Drama,1150534,1999-09-08,Sam Mendes
40,tt0124315,2016-09-14,2016-09-14,Screenplay Based on Material Previously Produced or Published,The Cider House Rules,https://www.imdb.com/title/tt0124315/,movie,7.4,126,1999,"Drama, Romance",99858,1999-09-07,Lasse Hallström
41,tt0138097,2016-09-14,2016-09-14,Screenplay Written Directly for the Screen,Shakespeare in Love,https://www.imdb.com/title/tt0138097/,movie,7.1,123,1998,"Comedy, Drama, History, Romance",225689,1998-12-03,John Madden
42,tt0120684,2016-09-14,2016-09-14,Screenplay Based on Material Previously Produced or Published,Gods and Monsters,https://www.imdb.com/title/tt0120684/,movie,7.4,105,1998,"Biography, Drama",31226,1998-01-21,Bill Condon
43,tt0119217,2016-09-14,2016-09-14,Screenplay Written Directly for the Screen,Good Will Hunting,https://www.imdb.com/title/tt0119217/,movie,8.3,126,1997,"Drama, Romance",961314,1997-12-02,Gus Van Sant
44,tt0119488,2016-09-14,2016-09-14,Screenplay Based on Material Previously Produced or Published,L.A. Confidential,https://www.imdb.com/title/tt0119488/,movie,8.2,138,1997,"Crime, Drama, Mystery, Thriller",582158,1997-05-14,Curtis Hanson
45,tt0116282,2016-09-14,2016-09-14,Screenplay Written Directly for the Screen,Fargo,https://www.imdb.com/title/tt0116282/,movie,8.1,98,1996,"Crime, Thriller",676233,1996-03-08,"Ethan Coen, Joel Coen"
46,tt0117666,2016-09-14,2016-09-14,Screenplay Based on Material Previously Produced or Published,Sling Blade,https://www.imdb.com/title/tt0117666/,movie,8.0,135,1996,Drama,94409,1996-08-30,Billy Bob Thornton
47,tt0114814,2016-09-14,2016-09-14,Screenplay Written Directly for the Screen,The Usual Suspects,https://www.imdb.com/title/tt0114814/,movie,8.5,106,1995,"Crime, Drama, Mystery, Thriller",1080239,1995-01-25,Bryan Singer
48,tt0114388,2016-09-14,2016-09-14,Screenplay Based on Material Previously Produced or Published,Sense and Sensibility,https://www.imdb.com/title/tt0114388/,movie,7.7,136,1995,"Drama, Romance",116839,1995-12-04,Ang Lee
49,tt0110912,2016-09-14,2016-09-14,Screenplay Written Directly for the Screen,Pulp Fiction,https://www.imdb.com/title/tt0110912/,movie,8.9,154,1994,"Crime, Drama",2034924,1994-05-21,Quentin Tarantino
50,tt0109830,2016-09-14,2016-09-14,Screenplay Based on Material Previously Produced or Published,Forrest Gump,https://www.imdb.com/title/tt0109830/,movie,8.8,142,1994,"Drama, Romance",2059970,1994-06-23,Robert Zemeckis
51,tt0107822,2016-09-14,2016-09-14,Screenplay Written Directly for the Screen,The Piano,https://www.imdb.com/title/tt0107822/,movie,7.5,121,1993,"Drama, Music, Romance",89093,1993-05-15,Jane Campion
52,tt0108052,2016-09-14,2016-09-14,Screenplay Based on Material Previously Produced or Published,Schindler's List,https://www.imdb.com/title/tt0108052/,movie,9.0,195,1993,"Biography, Drama, History",1346637,1993-11-30,Steven Spielberg
53,tt0104036,2016-09-14,2016-09-14,Screenplay Written Directly for the Screen,The Crying Game,https://www.imdb.com/title/tt0104036/,movie,7.2,112,1992,"Crime, Drama, Romance, Thriller",56087,1992-09-02,Neil Jordan
54,tt0104454,2016-09-14,2016-09-14,Screenplay Based on Material Previously Produced or Published,Howards End,https://www.imdb.com/title/tt0104454/,movie,7.4,142,1992,"Drama, Romance",32907,1992-02-27,James Ivory
55,tt0103074,2016-09-14,2016-09-14,Screenplay Written Directly for the Screen,Thelma & Louise,https://www.imdb.com/title/tt0103074/,movie,7.5,130,1991,"Adventure, Crime, Drama",155930,1991-05-20,Ridley Scott
56,tt0102926,2016-09-14,2016-09-14,Screenplay Based on Material Previously Produced or Published,The Silence of the Lambs,https://www.imdb.com/title/tt0102926/,movie,8.6,118,1991,"Crime, Drama, Thriller",1422276,1991-01-30,Jonathan Demme
57,tt0099653,2016-09-14,2016-09-14,Screenplay Written Directly for the Screen,Ghost,https://www.imdb.com/title/tt0099653/,movie,7.1,127,1990,"Drama, Fantasy, Romance, Thriller",217965,1990-07-13,Jerry Zucker
58,tt0099348,2016-09-14,2016-09-14,Screenplay Based on Material from Another Medium,Dances with Wolves,https://www.imdb.com/title/tt0099348/,movie,8.0,181,1990,"Adventure, Drama, Western",265702,1990-10-19,Kevin Costner
59,tt0097165,2016-09-14,2016-09-14,Screenplay Written Directly for the Screen,Dead Poets Society,https://www.imdb.com/title/tt0097165/,movie,8.1,128,1989,"Comedy, Drama",488366,1989-06-02,Peter Weir
60,tt0097239,2016-09-14,2016-09-14,Screenplay Based on Material from Another Medium,Driving Miss Daisy,https://www.imdb.com/title/tt0097239/,movie,7.3,99,1989,"Comedy, Drama, Romance",110574,1989-12-11,Bruce Beresford
61,tt0095953,2016-09-14,2016-09-14,Screenplay Written Directly for the Screen,Rain Man,https://www.imdb.com/title/tt0095953/,movie,8.0,133,1988,Drama,513891,1988-12-12,Barry Levinson
62,tt0094947,2016-09-14,2016-09-14,Screenplay Based on Material from Another Medium,Dangerous Liaisons,https://www.imdb.com/title/tt0094947/,movie,7.6,119,1988,"Drama, Romance",70848,1988-12-11,Stephen Frears
63,tt0093565,2016-09-14,2016-09-14,Screenplay Written Directly for the Screen,Moonstruck,https://www.imdb.com/title/tt0093565/,movie,7.1,102,1987,"Comedy, Drama, Romance",60485,1987-12-01,Norman Jewison
64,tt0093389,2016-09-14,2016-09-14,Screenplay Based on Material from Another Medium,The Last Emperor,https://www.imdb.com/title/tt0093389/,movie,7.7,163,1987,"Biography, Drama, History",103874,1987-10-04,Bernardo Bertolucci
65,tt0091167,2016-09-14,2016-09-14,Screenplay Written Directly for the Screen,Hannah and Her Sisters,https://www.imdb.com/title/tt0091167/,movie,7.9,107,1986,"Comedy, Drama",71988,1986-01-25,Woody Allen
