Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
95,tt0067116,2016-09-14,2016-09-14,Screenplay Based on Material from Another Medium,The French Connection,https://www.imdb.com/title/tt0067116/,movie,7.7,104,1971,"Action, Crime, Drama, Thriller",123512,1971-10-07,William Friedkin
96,tt0067217,2016-09-14,2016-09-14,Story and Screenplay Based on Factual Material or Material Not Previously Published or Produced,The Hospital,https://www.imdb.com/title/tt0067217/,movie,7.1,103,1971,"Comedy, Drama, Mystery",6603,1971-12-14,Arthur Hiller
97,tt0066026,2016-09-14,2016-09-14,Screenplay Based on Material from Another Medium,M*A*S*H,https://www.imdb.com/title/tt0066026/,movie,7.4,116,1970,"Comedy, Drama, War",73604,1970-01-25,Robert Altman
98,tt0066206,2016-09-14,2016-09-14,Story and Screenplay Based on Factual Material or Material Not Previously Published or Produced,Patton,https://www.imdb.com/title/tt0066206/,movie,7.9,172,1970,"Biography, Drama, War",102622,1970-02-04,Franklin J. Schaffner
99,tt0064115,2016-09-14,2016-09-14,Story and Screenplay Based on Material Not Previously Published or Produced,Butch Cassidy and the Sundance Kid,https://www.imdb.com/title/tt0064115/,movie,8.0,110,1969,"Biography, Crime, Drama, Western",216372,1969-09-23,George Roy Hill
100,tt0064665,2016-09-14,2016-09-14,Screenplay Based on Material from Another Medium,Midnight Cowboy,https://www.imdb.com/title/tt0064665/,movie,7.8,113,1969,Drama,111568,1969-05-25,John Schlesinger
101,tt0063462,2016-09-14,2016-09-14,Story and Screenplay - Written Directly for the Screen,The Producers,https://www.imdb.com/title/tt0063462/,movie,7.5,88,1967,"Comedy, Music",56459,1967-11-22,Mel Brooks
102,tt0063227,2016-09-14,2016-09-14,Screenplay Based on Material from Another Medium,The Lion in Winter,https://www.imdb.com/title/tt0063227/,movie,7.9,134,1968,"Biography, Drama, History",31772,1968-10-30,Anthony Harvey
103,tt0061735,2016-09-14,2016-09-14,Story and Screenplay - Written Directly for the Screen,Guess Who's Coming to Dinner,https://www.imdb.com/title/tt0061735/,movie,7.8,108,1967,"Comedy, Drama",45679,1967-12-11,Stanley Kramer
104,tt0061811,2016-09-14,2016-09-14,Screenplay Based on Material from Another Medium,In the Heat of the Night,https://www.imdb.com/title/tt0061811/,movie,7.9,110,1967,"Drama, Mystery, Thriller",76889,1967-08-02,Norman Jewison
105,tt0061138,2016-09-14,2016-09-14,Story and Screenplay - Written Directly for the Screen,Un homme et une femme,https://www.imdb.com/title/tt0061138/,movie,7.5,102,1966,"Drama, Romance",10937,1966-05-10,Claude Lelouch
106,tt0060665,2016-09-14,2016-09-14,Screenplay Based on Material from Another Medium,A Man for All Seasons,https://www.imdb.com/title/tt0060665/,movie,7.7,120,1966,"Biography, Drama, History",34866,1966-12-12,Fred Zinnemann
107,tt0059084,2016-09-14,2016-09-14,Story and Screenplay - Written Directly for the Screen,Darling,https://www.imdb.com/title/tt0059084/,movie,7.0,128,1965,"Drama, Romance",7103,1965-07-15,John Schlesinger
108,tt0059113,2016-09-14,2016-09-14,Screenplay Based on Material from Another Medium,Doctor Zhivago,https://www.imdb.com/title/tt0059113/,movie,7.9,197,1965,"Drama, Romance, War",77076,1965-12-22,David Lean
109,tt0058092,2016-09-14,2016-09-14,Story and Screenplay - Written Directly for the Screen,Father Goose,https://www.imdb.com/title/tt0058092/,movie,7.3,118,1964,"Adventure, Comedy, Romance, War",11171,1964-12-10,Ralph Nelson
110,tt0057877,2016-09-14,2016-09-14,Screenplay Based on Material from Another Medium,Becket,https://www.imdb.com/title/tt0057877/,movie,7.8,148,1964,"Biography, Drama, History",14849,1964-03-11,Peter Glenville
111,tt0056085,2016-09-14,2016-09-14,Story and Screenplay - Written Directly for the Screen,How the West Was Won,https://www.imdb.com/title/tt0056085/,movie,7.0,164,1962,Western,21205,1962-11-01,"George Marshall, John Ford, Henry Hathaway, Richard Thorpe"
112,tt0057590,2016-09-14,2016-09-14,Screenplay Based on Material from Another Medium,Tom Jones,https://www.imdb.com/title/tt0057590/,movie,6.4,129,1963,"Adventure, Comedy, History, Romance",13200,1963-06-26,Tony Richardson
113,tt0055913,2016-09-14,2016-09-14,Story and Screenplay - Written Directly for the Screen,Divorzio all'italiana,https://www.imdb.com/title/tt0055913/,movie,8.0,105,1961,"Comedy, Drama, Romance",13019,1961-12-20,Pietro Germi
114,tt0056592,2016-09-14,2016-09-14,Screenplay Based on Material from Another Medium,To Kill a Mockingbird,https://www.imdb.com/title/tt0056592/,movie,8.3,129,1962,"Crime, Drama",316558,1962-12-20,Robert Mulligan
115,tt0055471,2016-09-14,2016-09-14,Story and Screenplay - Written Directly for the Screen,Splendor in the Grass,https://www.imdb.com/title/tt0055471/,movie,7.7,124,1961,"Drama, Romance",21252,1961-08-25,Elia Kazan
116,tt0055031,2016-09-14,2016-09-14,Screenplay Based on Material from Another Medium,Judgment at Nuremberg,https://www.imdb.com/title/tt0055031/,movie,8.3,179,1961,"Drama, War",77991,1961-12-14,Stanley Kramer
117,tt0053604,2016-09-14,2016-09-14,Story and Screenplay - Written Directly for the Screen,The Apartment,https://www.imdb.com/title/tt0053604/,movie,8.3,125,1960,"Comedy, Drama, Romance",181726,1960-06-15,Billy Wilder
118,tt0053793,2016-09-14,2016-09-14,Screenplay Based on Material from Another Medium,Elmer Gantry,https://www.imdb.com/title/tt0053793/,movie,7.7,146,1960,Drama,11843,1960-06-29,Richard Brooks
119,tt0053172,2016-09-14,2016-09-14,Story and Screenplay - Written Directly for the Screen,Pillow Talk,https://www.imdb.com/title/tt0053172/,movie,7.4,102,1959,"Comedy, Romance",17545,1959-10-06,Michael Gordon
120,tt0053226,2016-09-14,2016-09-14,Screenplay Based on Material from Another Medium,Room at the Top,https://www.imdb.com/title/tt0053226/,movie,7.6,117,1958,"Drama, Romance",6432,1958-12-29,Jack Clayton
121,tt0051525,2016-09-14,2016-09-14,Story and Screenplay - Written Directly for the Screen,The Defiant Ones,https://www.imdb.com/title/tt0051525/,movie,7.6,96,1958,"Crime, Drama",16025,1958-06-29,Stanley Kramer
122,tt0051658,2016-09-14,2016-09-14,Screenplay Based on Material from Another Medium,Gigi,https://www.imdb.com/title/tt0051658/,movie,6.6,115,1958,"Comedy, Musical, Romance",23106,1958-05-15,"Charles Walters, Vincente Minnelli"
123,tt0050306,2016-09-14,2016-09-14,Story and Screenplay - Written Directly for the Screen,Designing Woman,https://www.imdb.com/title/tt0050306/,movie,6.7,118,1957,"Comedy, Romance",4928,1957-04-10,Vincente Minnelli
124,tt0050212,2016-09-14,2016-09-14,Screenplay Based on Material from Another Medium,The Bridge on the River Kwai,https://www.imdb.com/title/tt0050212/,movie,8.2,161,1957,"Adventure, Drama, War",221017,1957-10-02,David Lean
